192094, 192094, 192094, 192094
173821, 173821, 173821, 173821
133454, 133460, 133454, 133454
195780, 195780, 195780, 195780
178356, 178356, 178356, 178356
164671, 164671, 164671, 164671
192969, 192969, 192969, 192969
170300, 170300, 170300, 170300
160161, 160161, 160161, 160161
194380, 194380, 194380, 194380
176294, 176294, 176294, 176294
152695, 152695, 152695, 152695
203016, 203016, 203016, 203016
180745, 180745, 180745, 180745
166285, 166285, 166285, 166285
199361, 199361, 199361, 199361
182484, 182484, 182484, 182484
158762, 158777, 158762, 158762
195188, 195188, 195188, 195188
169041, 169041, 169041, 169041
162829, 162829, 162829, 162829
199806, 199806, 199806, 199806
173158, 173158, 173158, 173158
149161, 149161, 149161, 149161
190825, 190825, 190825, 190825
171280, 171280, 171280, 171280
156304, 156304, 156304, 156304
198470, 198470, 198470, 198470
173769, 173769, 173769, 173769
155443, 155443, 155443, 155443
203184, 203184, 203184, 203184
184446, 184450, 184446, 184446
155522, 155522, 155522, 155522
203159, 203159, 203159, 203159
180745, 180741, 180745, 180745
161666, 161666, 161660, 161660
196978, 196978, 196978, 196978
175941, 175941, 175941, 175941
156602, 156602, 156602, 156602
200226, 200226, 200226, 200226
180753, 180753, 180753, 180753
161852, 161852, 161852, 161852
190153, 190153, 190153, 190153
173337, 173337, 173337, 173337
152225, 152249, 152244, 152225
183778, 183778, 183778, 183778
168855, 168855, 168855, 168855
146674, 146682, 146674, 146674
207049, 207049, 207049, 207049
172638, 172638, 172638, 172638
160940, 160940, 160940, 160940
204783, 204783, 204783, 204783
186620, 186620, 186620, 186620
161929, 161929, 161929, 161929
194319, 194319, 194319, 194319
170868, 170874, 170870, 170870
146782, 146782, 146782, 146782
203156, 203156, 203156, 203156
190995, 190995, 190995, 190995
171959, 171999, 171959, 171959
188306, 188306, 188306, 188306
165346, 165346, 165346, 165346
144995, 144995, 144995, 144995
194559, 194559, 194559, 194559
186649, 186649, 186649, 186649
160142, 160140, 160140, 160140
193159, 193159, 193159, 193159
172967, 172967, 172967, 172967
153912, 153912, 153912, 153912
184787, 184787, 184787, 184787
160567, 160567, 160567, 160567
150316, 150324, 150324, 150316
198023, 198023, 198023, 198023
183909, 183909, 183909, 183909
167700, 167700, 167717, 167705
187149, 187149, 187149, 187149
165850, 165850, 165850, 165850
146852, 146852, 146852, 146853
192158, 192158, 192158, 192158
165360, 165360, 165360, 165360
154382, 154382, 154382, 154382
190233, 190233, 190233, 190233
166953, 166953, 166953, 166953
144555, 144555, 144555, 144556
202050, 202050, 202050, 202050
178726, 178726, 178726, 178726
164090, 164090, 164092, 164092
192221, 192221, 192221, 192221
176488, 176488, 176488, 176488
150354, 150354, 150356, 150342
189966, 189966, 189966, 189966
170689, 170689, 170689, 170689
154894, 154894, 154894, 154894
201075, 201075, 201075, 201075
175051, 175051, 175051, 175067
157471, 157471, 157471, 157471
191496, 191496, 191496, 191496
179444, 179444, 179444, 179444
162499, 162498, 162498, 162494
190288, 190288, 190288, 190288
168682, 168682, 168682, 168682
158833, 158833, 158833, 158833
196637, 196637, 196637, 196637
171687, 171687, 171687, 171687
152285, 152285, 152285, 152285
186185, 186185, 186185, 186185
160624, 160624, 160624, 160624
145985, 145985, 145985, 145985
196414, 196414, 196414, 196414
174608, 174608, 174608, 174608
152593, 152594, 152607, 152607
194928, 194928, 194928, 194928
180696, 180696, 180696, 180696
168744, 168744, 168744, 168745
192103, 192103, 192103, 192103
180549, 180549, 180549, 180549
158999, 158999, 159001, 158999
203842, 203842, 203842, 203842
179513, 179513, 179513, 179513
165574, 165574, 165574, 165574
194832, 194832, 194832, 194832
167304, 167304, 167304, 167304
148638, 148638, 148638, 148638
189736, 189736, 189736, 189736
166557, 166557, 166557, 166557
147225, 147225, 147225, 147225
187755, 187755, 187755, 187755
162873, 162873, 162873, 162873
154078, 154078, 154078, 154078
196969, 196969, 196969, 196969
179462, 179462, 179462, 179462
159558, 159558, 159558, 159558
194046, 194046, 194046, 194046
176125, 176125, 176125, 176125
154413, 154413, 154413, 154413
207403, 207403, 207403, 207403
178230, 178230, 178230, 178230
162002, 162002, 162002, 162002
200747, 200747, 200747, 200747
190164, 190164, 190164, 190164
157388, 157388, 157388, 157388
190971, 190971, 190971, 190971
161914, 161914, 161915, 161914
143937, 143937, 143937, 143937
201174, 201174, 201174, 201174
181815, 181815, 181815, 181815
151235, 151235, 151235, 151235
192317, 192317, 192317, 192317
173472, 173472, 173478, 173472
160799, 160799, 160799, 160799
